PvEstimate,PeriodEnd,Period
0.0098,2023-09-27T18:30:00Z,PT30M
0,2023-09-27T18:00:00Z,PT30M
0,2023-09-27T17:30:00Z,PT30M
0,2023-09-27T17:00:00Z,PT30M
0,2023-09-27T16:30:00Z,PT30M
0,2023-09-27T16:00:00Z,PT30M
0,2023-09-27T15:30:00Z,PT30M
0,2023-09-27T15:00:00Z,PT30M
0,2023-09-27T14:30:00Z,PT30M
0,2023-09-27T14:00:00Z,PT30M
0,2023-09-27T13:30:00Z,PT30M
0,2023-09-27T13:00:00Z,PT30M
0,2023-09-27T12:30:00Z,PT30M
0,2023-09-27T12:00:00Z,PT30M
0,2023-09-27T11:30:00Z,PT30M
0,2023-09-27T11:00:00Z,PT30M
0,2023-09-27T10:30:00Z,PT30M
0,2023-09-27T10:00:00Z,PT30M
0,2023-09-27T09:30:00Z,PT30M
0,2023-09-27T09:00:00Z,PT30M
0,2023-09-27T08:30:00Z,PT30M
0,2023-09-27T08:00:00Z,PT30M
0,2023-09-27T07:30:00Z,PT30M
0,2023-09-27T07:00:00Z,PT30M
0.0029,2023-09-27T06:30:00Z,PT30M
0.0185,2023-09-27T06:00:00Z,PT30M
0.0418,2023-09-27T05:30:00Z,PT30M
0.1498,2023-09-27T05:00:00Z,PT30M
0.3152,2023-09-27T04:30:00Z,PT30M
0.5342,2023-09-27T04:00:00Z,PT30M
0.6769,2023-09-27T03:30:00Z,PT30M
0.7984,2023-09-27T03:00:00Z,PT30M
0.8466,2023-09-27T02:30:00Z,PT30M
0.9141,2023-09-27T02:00:00Z,PT30M
0.8186,2023-09-27T01:30:00Z,PT30M
1.061,2023-09-27T01:00:00Z,PT30M
1.0625,2023-09-27T00:30:00Z,PT30M
0.9849,2023-09-27,PT30M
1.1983,2023-09-26T23:30:00Z,PT30M
0.7693,2023-09-26T23:00:00Z,PT30M
0.6278,2023-09-26T22:30:00Z,PT30M
0.8291,2023-09-26T22:00:00Z,PT30M
0.7908,2023-09-26T21:30:00Z,PT30M
0.7399,2023-09-26T21:00:00Z,PT30M
0.6056,2023-09-26T20:30:00Z,PT30M
0.296,2023-09-26T20:00:00Z,PT30M
0.1471,2023-09-26T19:30:00Z,PT30M
0.0571,2023-09-26T19:00:00Z,PT30M
0.0069,2023-09-26T18:30:00Z,PT30M
0,2023-09-26T18:00:00Z,PT30M
0,2023-09-26T17:30:00Z,PT30M
0,2023-09-26T17:00:00Z,PT30M
0,2023-09-26T16:30:00Z,PT30M
0,2023-09-26T16:00:00Z,PT30M
0,2023-09-26T15:30:00Z,PT30M
0,2023-09-26T15:00:00Z,PT30M
0,2023-09-26T14:30:00Z,PT30M
0,2023-09-26T14:00:00Z,PT30M
0,2023-09-26T13:30:00Z,PT30M
0,2023-09-26T13:00:00Z,PT30M
0,2023-09-26T12:30:00Z,PT30M
0,2023-09-26T12:00:00Z,PT30M
0,2023-09-26T11:30:00Z,PT30M
0,2023-09-26T11:00:00Z,PT30M
0,2023-09-26T10:30:00Z,PT30M
0,2023-09-26T10:00:00Z,PT30M
0,2023-09-26T09:30:00Z,PT30M
0,2023-09-26T09:00:00Z,PT30M
0,2023-09-26T08:30:00Z,PT30M
0,2023-09-26T08:00:00Z,PT30M
0,2023-09-26T07:30:00Z,PT30M
0,2023-09-26T07:00:00Z,PT30M
0.003,2023-09-26T06:30:00Z,PT30M
0.0341,2023-09-26T06:00:00Z,PT30M
0.0749,2023-09-26T05:30:00Z,PT30M
0.1152,2023-09-26T05:00:00Z,PT30M
0.0279,2023-09-26T04:30:00Z,PT30M
0.0269,2023-09-26T04:00:00Z,PT30M
0.0486,2023-09-26T03:30:00Z,PT30M
0.3511,2023-09-26T03:00:00Z,PT30M
0.7488,2023-09-26T02:30:00Z,PT30M
0.7154,2023-09-26T02:00:00Z,PT30M
0.7234,2023-09-26T01:30:00Z,PT30M
1.0101,2023-09-26T01:00:00Z,PT30M
1.0923,2023-09-26T00:30:00Z,PT30M
1.3077,2023-09-26,PT30M
1.0448,2023-09-25T23:30:00Z,PT30M
0.8495,2023-09-25T23:00:00Z,PT30M
0.6839,2023-09-25T22:30:00Z,PT30M
0.7428,2023-09-25T22:00:00Z,PT30M
0.6178,2023-09-25T21:30:00Z,PT30M
0.4827,2023-09-25T21:00:00Z,PT30M
0.3886,2023-09-25T20:30:00Z,PT30M
0.3626,2023-09-25T20:00:00Z,PT30M
0.187,2023-09-25T19:30:00Z,PT30M
0.0845,2023-09-25T19:00:00Z,PT30M
0.0079,2023-09-25T18:30:00Z,PT30M
