PvEstimate,PeriodEnd,Period
0.399,2023-10-02T19:30:00Z,PT30M
0.1585,2023-10-02T19:00:00Z,PT30M
0.0254,2023-10-02T18:30:00Z,PT30M
0,2023-10-02T18:00:00Z,PT30M
0,2023-10-02T17:30:00Z,PT30M
0,2023-10-02T17:00:00Z,PT30M
0,2023-10-02T16:30:00Z,PT30M
0,2023-10-02T16:00:00Z,PT30M
0,2023-10-02T15:30:00Z,PT30M
0,2023-10-02T15:00:00Z,PT30M
0,2023-10-02T14:30:00Z,PT30M
0,2023-10-02T14:00:00Z,PT30M
0,2023-10-02T13:30:00Z,PT30M
0,2023-10-02T13:00:00Z,PT30M
0,2023-10-02T12:30:00Z,PT30M
0,2023-10-02T12:00:00Z,PT30M
0,2023-10-02T11:30:00Z,PT30M
0,2023-10-02T11:00:00Z,PT30M
0,2023-10-02T10:30:00Z,PT30M
0,2023-10-02T10:00:00Z,PT30M
0,2023-10-02T09:30:00Z,PT30M
0,2023-10-02T09:00:00Z,PT30M
0,2023-10-02T08:30:00Z,PT30M
0,2023-10-02T08:00:00Z,PT30M
0,2023-10-02T07:30:00Z,PT30M
0,2023-10-02T07:00:00Z,PT30M
0.0029,2023-10-02T06:30:00Z,PT30M
0.0327,2023-10-02T06:00:00Z,PT30M
0.0517,2023-10-02T05:30:00Z,PT30M
0.1874,2023-10-02T05:00:00Z,PT30M
0.239,2023-10-02T04:30:00Z,PT30M
0.2342,2023-10-02T04:00:00Z,PT30M
0.32,2023-10-02T03:30:00Z,PT30M
0.3666,2023-10-02T03:00:00Z,PT30M
0.5058,2023-10-02T02:30:00Z,PT30M
0.5905,2023-10-02T02:00:00Z,PT30M
0.7026,2023-10-02T01:30:00Z,PT30M
1.0378,2023-10-02T01:00:00Z,PT30M
1.2186,2023-10-02T00:30:00Z,PT30M
1.3939,2023-10-02,PT30M
1.3916,2023-10-01T23:30:00Z,PT30M
1.4339,2023-10-01T23:00:00Z,PT30M
1.3935,2023-10-01T22:30:00Z,PT30M
1.3054,2023-10-01T22:00:00Z,PT30M
1.1003,2023-10-01T21:30:00Z,PT30M
0.8763,2023-10-01T21:00:00Z,PT30M
0.7926,2023-10-01T20:30:00Z,PT30M
0.605,2023-10-01T20:00:00Z,PT30M
0.3733,2023-10-01T19:30:00Z,PT30M
0.1636,2023-10-01T19:00:00Z,PT30M
0.0194,2023-10-01T18:30:00Z,PT30M
0,2023-10-01T18:00:00Z,PT30M
0,2023-10-01T17:30:00Z,PT30M
0,2023-10-01T17:00:00Z,PT30M
0,2023-10-01T16:30:00Z,PT30M
0,2023-10-01T16:00:00Z,PT30M
0,2023-10-01T15:30:00Z,PT30M
0,2023-10-01T15:00:00Z,PT30M
0,2023-10-01T14:30:00Z,PT30M
0,2023-10-01T14:00:00Z,PT30M
0,2023-10-01T13:30:00Z,PT30M
0,2023-10-01T13:00:00Z,PT30M
0,2023-10-01T12:30:00Z,PT30M
0,2023-10-01T12:00:00Z,PT30M
0,2023-10-01T11:30:00Z,PT30M
0,2023-10-01T11:00:00Z,PT30M
0,2023-10-01T10:30:00Z,PT30M
0,2023-10-01T10:00:00Z,PT30M
0,2023-10-01T09:30:00Z,PT30M
0,2023-10-01T09:00:00Z,PT30M
0,2023-10-01T08:30:00Z,PT30M
0,2023-10-01T08:00:00Z,PT30M
0,2023-10-01T07:30:00Z,PT30M
0,2023-10-01T07:00:00Z,PT30M
0.0049,2023-10-01T06:30:00Z,PT30M
0.0253,2023-10-01T06:00:00Z,PT30M
0.051,2023-10-01T05:30:00Z,PT30M
0.1316,2023-10-01T05:00:00Z,PT30M
0.2739,2023-10-01T04:30:00Z,PT30M
0.2898,2023-10-01T04:00:00Z,PT30M
0.2296,2023-10-01T03:30:00Z,PT30M
0.3144,2023-10-01T03:00:00Z,PT30M
0.7464,2023-10-01T02:30:00Z,PT30M
0.6659,2023-10-01T02:00:00Z,PT30M
1.0342,2023-10-01T01:30:00Z,PT30M
0.9075,2023-10-01T01:00:00Z,PT30M
0.8209,2023-10-01T00:30:00Z,PT30M
1.2004,2023-10-01,PT30M
1.2899,2023-09-30T23:30:00Z,PT30M
0.8547,2023-09-30T23:00:00Z,PT30M
1.0136,2023-09-30T22:30:00Z,PT30M
1.2237,2023-09-30T22:00:00Z,PT30M
1.0006,2023-09-30T21:30:00Z,PT30M
0.889,2023-09-30T21:00:00Z,PT30M
0.5193,2023-09-30T20:30:00Z,PT30M
0.4721,2023-09-30T20:00:00Z,PT30M
0.2334,2023-09-30T19:30:00Z,PT30M
