PvEstimate,PeriodEnd,Period
0.6026,2023-09-30T20:30:00Z,PT30M
0.4567,2023-09-30T20:00:00Z,PT30M
0.2251,2023-09-30T19:30:00Z,PT30M
0.0762,2023-09-30T19:00:00Z,PT30M
0.0139,2023-09-30T18:30:00Z,PT30M
0,2023-09-30T18:00:00Z,PT30M
0,2023-09-30T17:30:00Z,PT30M
0,2023-09-30T17:00:00Z,PT30M
0,2023-09-30T16:30:00Z,PT30M
0,2023-09-30T16:00:00Z,PT30M
0,2023-09-30T15:30:00Z,PT30M
0,2023-09-30T15:00:00Z,PT30M
0,2023-09-30T14:30:00Z,PT30M
0,2023-09-30T14:00:00Z,PT30M
0,2023-09-30T13:30:00Z,PT30M
0,2023-09-30T13:00:00Z,PT30M
0,2023-09-30T12:30:00Z,PT30M
0,2023-09-30T12:00:00Z,PT30M
0,2023-09-30T11:30:00Z,PT30M
0,2023-09-30T11:00:00Z,PT30M
0,2023-09-30T10:30:00Z,PT30M
0,2023-09-30T10:00:00Z,PT30M
0,2023-09-30T09:30:00Z,PT30M
0,2023-09-30T09:00:00Z,PT30M
0,2023-09-30T08:30:00Z,PT30M
0,2023-09-30T08:00:00Z,PT30M
0,2023-09-30T07:30:00Z,PT30M
0,2023-09-30T07:00:00Z,PT30M
0.008,2023-09-30T06:30:00Z,PT30M
0.0422,2023-09-30T06:00:00Z,PT30M
0.1635,2023-09-30T05:30:00Z,PT30M
0.3169,2023-09-30T05:00:00Z,PT30M
0.3333,2023-09-30T04:30:00Z,PT30M
0.4544,2023-09-30T04:00:00Z,PT30M
0.755,2023-09-30T03:30:00Z,PT30M
0.795,2023-09-30T03:00:00Z,PT30M
1.0387,2023-09-30T02:30:00Z,PT30M
0.9456,2023-09-30T02:00:00Z,PT30M
1.0195,2023-09-30T01:30:00Z,PT30M
1.3501,2023-09-30T01:00:00Z,PT30M
0.7892,2023-09-30T00:30:00Z,PT30M
0.6786,2023-09-30,PT30M
0.3475,2023-09-29T23:30:00Z,PT30M
0.7141,2023-09-29T23:00:00Z,PT30M
0.6027,2023-09-29T22:30:00Z,PT30M
0.6874,2023-09-29T22:00:00Z,PT30M
1.1611,2023-09-29T21:30:00Z,PT30M
0.5243,2023-09-29T21:00:00Z,PT30M
0.3296,2023-09-29T20:30:00Z,PT30M
0.3246,2023-09-29T20:00:00Z,PT30M
0.2019,2023-09-29T19:30:00Z,PT30M
0.1167,2023-09-29T19:00:00Z,PT30M
0.0079,2023-09-29T18:30:00Z,PT30M
0,2023-09-29T18:00:00Z,PT30M
0,2023-09-29T17:30:00Z,PT30M
0,2023-09-29T17:00:00Z,PT30M
0,2023-09-29T16:30:00Z,PT30M
0,2023-09-29T16:00:00Z,PT30M
0,2023-09-29T15:30:00Z,PT30M
0,2023-09-29T15:00:00Z,PT30M
0,2023-09-29T14:30:00Z,PT30M
0,2023-09-29T14:00:00Z,PT30M
0,2023-09-29T13:30:00Z,PT30M
0,2023-09-29T13:00:00Z,PT30M
0,2023-09-29T12:30:00Z,PT30M
0,2023-09-29T12:00:00Z,PT30M
0,2023-09-29T11:30:00Z,PT30M
0,2023-09-29T11:00:00Z,PT30M
0,2023-09-29T10:30:00Z,PT30M
0,2023-09-29T10:00:00Z,PT30M
0,2023-09-29T09:30:00Z,PT30M
0,2023-09-29T09:00:00Z,PT30M
0,2023-09-29T08:30:00Z,PT30M
0,2023-09-29T08:00:00Z,PT30M
0,2023-09-29T07:30:00Z,PT30M
0,2023-09-29T07:00:00Z,PT30M
0.0019,2023-09-29T06:30:00Z,PT30M
0.036,2023-09-29T06:00:00Z,PT30M
0.0933,2023-09-29T05:30:00Z,PT30M
0.2569,2023-09-29T05:00:00Z,PT30M
0.4295,2023-09-29T04:30:00Z,PT30M
0.5157,2023-09-29T04:00:00Z,PT30M
0.5769,2023-09-29T03:30:00Z,PT30M
0.4903,2023-09-29T03:00:00Z,PT30M
0.8338,2023-09-29T02:30:00Z,PT30M
0.4886,2023-09-29T02:00:00Z,PT30M
0.8136,2023-09-29T01:30:00Z,PT30M
1.1398,2023-09-29T01:00:00Z,PT30M
1.2825,2023-09-29T00:30:00Z,PT30M
1.2935,2023-09-29,PT30M
1.4473,2023-09-28T23:30:00Z,PT30M
1.0725,2023-09-28T23:00:00Z,PT30M
1.2027,2023-09-28T22:30:00Z,PT30M
0.7222,2023-09-28T22:00:00Z,PT30M
0.8955,2023-09-28T21:30:00Z,PT30M
0.6284,2023-09-28T21:00:00Z,PT30M
0.7548,2023-09-28T20:30:00Z,PT30M
