PvEstimate,PeriodEnd,Period
0.0999,2023-10-03T18:30:00Z,PT30M
0,2023-10-03T18:00:00Z,PT30M
0,2023-10-03T17:30:00Z,PT30M
0,2023-10-03T17:00:00Z,PT30M
0,2023-10-03T16:30:00Z,PT30M
0,2023-10-03T16:00:00Z,PT30M
0,2023-10-03T15:30:00Z,PT30M
0,2023-10-03T15:00:00Z,PT30M
0,2023-10-03T14:30:00Z,PT30M
0,2023-10-03T14:00:00Z,PT30M
0,2023-10-03T13:30:00Z,PT30M
0,2023-10-03T13:00:00Z,PT30M
0,2023-10-03T12:30:00Z,PT30M
0,2023-10-03T12:00:00Z,PT30M
0,2023-10-03T11:30:00Z,PT30M
0,2023-10-03T11:00:00Z,PT30M
0,2023-10-03T10:30:00Z,PT30M
0,2023-10-03T10:00:00Z,PT30M
0,2023-10-03T09:30:00Z,PT30M
0,2023-10-03T09:00:00Z,PT30M
0,2023-10-03T08:30:00Z,PT30M
0,2023-10-03T08:00:00Z,PT30M
0,2023-10-03T07:30:00Z,PT30M
0,2023-10-03T07:00:00Z,PT30M
0.0085,2023-10-03T06:30:00Z,PT30M
0.0143,2023-10-03T06:00:00Z,PT30M
0.1656,2023-10-03T05:30:00Z,PT30M
0.3675,2023-10-03T05:00:00Z,PT30M
0.5864,2023-10-03T04:30:00Z,PT30M
0.7793,2023-10-03T04:00:00Z,PT30M
0.9577,2023-10-03T03:30:00Z,PT30M
1.1195,2023-10-03T03:00:00Z,PT30M
1.2537,2023-10-03T02:30:00Z,PT30M
1.367,2023-10-03T02:00:00Z,PT30M
1.4494,2023-10-03T01:30:00Z,PT30M
1.3387,2023-10-03T01:00:00Z,PT30M
1.2963,2023-10-03T00:30:00Z,PT30M
1.5346,2023-10-03,PT30M
1.4681,2023-10-02T23:30:00Z,PT30M
1.3077,2023-10-02T23:00:00Z,PT30M
1.3986,2023-10-02T22:30:00Z,PT30M
1.3006,2023-10-02T22:00:00Z,PT30M
1.1824,2023-10-02T21:30:00Z,PT30M
1.0302,2023-10-02T21:00:00Z,PT30M
0.8685,2023-10-02T20:30:00Z,PT30M
0.5349,2023-10-02T20:00:00Z,PT30M
0.3544,2023-10-02T19:30:00Z,PT30M
0.1454,2023-10-02T19:00:00Z,PT30M
0.0215,2023-10-02T18:30:00Z,PT30M
0,2023-10-02T18:00:00Z,PT30M
0,2023-10-02T17:30:00Z,PT30M
0,2023-10-02T17:00:00Z,PT30M
0,2023-10-02T16:30:00Z,PT30M
0,2023-10-02T16:00:00Z,PT30M
0,2023-10-02T15:30:00Z,PT30M
0,2023-10-02T15:00:00Z,PT30M
0,2023-10-02T14:30:00Z,PT30M
0,2023-10-02T14:00:00Z,PT30M
0,2023-10-02T13:30:00Z,PT30M
0,2023-10-02T13:00:00Z,PT30M
0,2023-10-02T12:30:00Z,PT30M
0,2023-10-02T12:00:00Z,PT30M
0,2023-10-02T11:30:00Z,PT30M
0,2023-10-02T11:00:00Z,PT30M
0,2023-10-02T10:30:00Z,PT30M
0,2023-10-02T10:00:00Z,PT30M
0,2023-10-02T09:30:00Z,PT30M
0,2023-10-02T09:00:00Z,PT30M
0,2023-10-02T08:30:00Z,PT30M
0,2023-10-02T08:00:00Z,PT30M
0,2023-10-02T07:30:00Z,PT30M
0,2023-10-02T07:00:00Z,PT30M
0.0029,2023-10-02T06:30:00Z,PT30M
0.0346,2023-10-02T06:00:00Z,PT30M
0.0554,2023-10-02T05:30:00Z,PT30M
0.1927,2023-10-02T05:00:00Z,PT30M
0.2425,2023-10-02T04:30:00Z,PT30M
0.2342,2023-10-02T04:00:00Z,PT30M
0.32,2023-10-02T03:30:00Z,PT30M
0.3649,2023-10-02T03:00:00Z,PT30M
0.5042,2023-10-02T02:30:00Z,PT30M
0.5872,2023-10-02T02:00:00Z,PT30M
0.6994,2023-10-02T01:30:00Z,PT30M
1.032,2023-10-02T01:00:00Z,PT30M
1.2119,2023-10-02T00:30:00Z,PT30M
1.3843,2023-10-02,PT30M
1.3875,2023-10-01T23:30:00Z,PT30M
1.4339,2023-10-01T23:00:00Z,PT30M
1.3935,2023-10-01T22:30:00Z,PT30M
1.3054,2023-10-01T22:00:00Z,PT30M
1.1003,2023-10-01T21:30:00Z,PT30M
0.8763,2023-10-01T21:00:00Z,PT30M
0.7926,2023-10-01T20:30:00Z,PT30M
0.605,2023-10-01T20:00:00Z,PT30M
0.3733,2023-10-01T19:30:00Z,PT30M
0.1636,2023-10-01T19:00:00Z,PT30M
0.0194,2023-10-01T18:30:00Z,PT30M
