PvEstimate,PeriodEnd,Period
0,2023-09-28T07:30:00Z,PT30M
0,2023-09-28T07:00:00Z,PT30M
0.0039,2023-09-28T06:30:00Z,PT30M
0.0334,2023-09-28T06:00:00Z,PT30M
0.093,2023-09-28T05:30:00Z,PT30M
0.2494,2023-09-28T05:00:00Z,PT30M
0.4274,2023-09-28T04:30:00Z,PT30M
0.493,2023-09-28T04:00:00Z,PT30M
0.469,2023-09-28T03:30:00Z,PT30M
0.7009,2023-09-28T03:00:00Z,PT30M
0.5655,2023-09-28T02:30:00Z,PT30M
0.6023,2023-09-28T02:00:00Z,PT30M
0.8433,2023-09-28T01:30:00Z,PT30M
1.0197,2023-09-28T01:00:00Z,PT30M
0.5011,2023-09-28T00:30:00Z,PT30M
1.3235,2023-09-28,PT30M
0.7969,2023-09-27T23:30:00Z,PT30M
1.2211,2023-09-27T23:00:00Z,PT30M
0.3125,2023-09-27T22:30:00Z,PT30M
0.7762,2023-09-27T22:00:00Z,PT30M
0.7478,2023-09-27T21:30:00Z,PT30M
0.316,2023-09-27T21:00:00Z,PT30M
0.6149,2023-09-27T20:30:00Z,PT30M
0.5476,2023-09-27T20:00:00Z,PT30M
0.342,2023-09-27T19:30:00Z,PT30M
0.0949,2023-09-27T19:00:00Z,PT30M
0.0098,2023-09-27T18:30:00Z,PT30M
0,2023-09-27T18:00:00Z,PT30M
0,2023-09-27T17:30:00Z,PT30M
0,2023-09-27T17:00:00Z,PT30M
0,2023-09-27T16:30:00Z,PT30M
0,2023-09-27T16:00:00Z,PT30M
0,2023-09-27T15:30:00Z,PT30M
0,2023-09-27T15:00:00Z,PT30M
0,2023-09-27T14:30:00Z,PT30M
0,2023-09-27T14:00:00Z,PT30M
0,2023-09-27T13:30:00Z,PT30M
0,2023-09-27T13:00:00Z,PT30M
0,2023-09-27T12:30:00Z,PT30M
0,2023-09-27T12:00:00Z,PT30M
0,2023-09-27T11:30:00Z,PT30M
0,2023-09-27T11:00:00Z,PT30M
0,2023-09-27T10:30:00Z,PT30M
0,2023-09-27T10:00:00Z,PT30M
0,2023-09-27T09:30:00Z,PT30M
0,2023-09-27T09:00:00Z,PT30M
0,2023-09-27T08:30:00Z,PT30M
0,2023-09-27T08:00:00Z,PT30M
0,2023-09-27T07:30:00Z,PT30M
0,2023-09-27T07:00:00Z,PT30M
0.0029,2023-09-27T06:30:00Z,PT30M
0.0195,2023-09-27T06:00:00Z,PT30M
0.0428,2023-09-27T05:30:00Z,PT30M
0.1534,2023-09-27T05:00:00Z,PT30M
0.3184,2023-09-27T04:30:00Z,PT30M
0.5376,2023-09-27T04:00:00Z,PT30M
0.6808,2023-09-27T03:30:00Z,PT30M
0.8026,2023-09-27T03:00:00Z,PT30M
0.8519,2023-09-27T02:30:00Z,PT30M
0.9197,2023-09-27T02:00:00Z,PT30M
0.8253,2023-09-27T01:30:00Z,PT30M
1.0647,2023-09-27T01:00:00Z,PT30M
1.0628,2023-09-27T00:30:00Z,PT30M
0.9849,2023-09-27,PT30M
1.1983,2023-09-26T23:30:00Z,PT30M
0.7693,2023-09-26T23:00:00Z,PT30M
0.6278,2023-09-26T22:30:00Z,PT30M
0.8291,2023-09-26T22:00:00Z,PT30M
0.7908,2023-09-26T21:30:00Z,PT30M
0.7399,2023-09-26T21:00:00Z,PT30M
0.6056,2023-09-26T20:30:00Z,PT30M
0.296,2023-09-26T20:00:00Z,PT30M
0.1471,2023-09-26T19:30:00Z,PT30M
0.0571,2023-09-26T19:00:00Z,PT30M
0.0069,2023-09-26T18:30:00Z,PT30M
0,2023-09-26T18:00:00Z,PT30M
0,2023-09-26T17:30:00Z,PT30M
0,2023-09-26T17:00:00Z,PT30M
0,2023-09-26T16:30:00Z,PT30M
0,2023-09-26T16:00:00Z,PT30M
0,2023-09-26T15:30:00Z,PT30M
0,2023-09-26T15:00:00Z,PT30M
0,2023-09-26T14:30:00Z,PT30M
0,2023-09-26T14:00:00Z,PT30M
0,2023-09-26T13:30:00Z,PT30M
0,2023-09-26T13:00:00Z,PT30M
0,2023-09-26T12:30:00Z,PT30M
0,2023-09-26T12:00:00Z,PT30M
0,2023-09-26T11:30:00Z,PT30M
0,2023-09-26T11:00:00Z,PT30M
0,2023-09-26T10:30:00Z,PT30M
0,2023-09-26T10:00:00Z,PT30M
0,2023-09-26T09:30:00Z,PT30M
0,2023-09-26T09:00:00Z,PT30M
0,2023-09-26T08:30:00Z,PT30M
0,2023-09-26T08:00:00Z,PT30M
0,2023-09-26T07:30:00Z,PT30M
