PvEstimate,PeriodEnd,Period
1.2999,2023-10-04T23:00:00Z,PT30M
1.3695,2023-10-04T22:30:00Z,PT30M
1.3292,2023-10-04T22:00:00Z,PT30M
1.1999,2023-10-04T21:30:00Z,PT30M
0.9972,2023-10-04T21:00:00Z,PT30M
0.6088,2023-10-04T20:30:00Z,PT30M
0.3494,2023-10-04T20:00:00Z,PT30M
0.2069,2023-10-04T19:30:00Z,PT30M
0.0995,2023-10-04T19:00:00Z,PT30M
0.0333,2023-10-04T18:30:00Z,PT30M
0,2023-10-04T18:00:00Z,PT30M
0,2023-10-04T17:30:00Z,PT30M
0,2023-10-04T17:00:00Z,PT30M
0,2023-10-04T16:30:00Z,PT30M
0,2023-10-04T16:00:00Z,PT30M
0,2023-10-04T15:30:00Z,PT30M
0,2023-10-04T15:00:00Z,PT30M
0,2023-10-04T14:30:00Z,PT30M
0,2023-10-04T14:00:00Z,PT30M
0,2023-10-04T13:30:00Z,PT30M
0,2023-10-04T13:00:00Z,PT30M
0,2023-10-04T12:30:00Z,PT30M
0,2023-10-04T12:00:00Z,PT30M
0,2023-10-04T11:30:00Z,PT30M
0,2023-10-04T11:00:00Z,PT30M
0,2023-10-04T10:30:00Z,PT30M
0,2023-10-04T10:00:00Z,PT30M
0,2023-10-04T09:30:00Z,PT30M
0,2023-10-04T09:00:00Z,PT30M
0,2023-10-04T08:30:00Z,PT30M
0,2023-10-04T08:00:00Z,PT30M
0,2023-10-04T07:30:00Z,PT30M
0,2023-10-04T07:00:00Z,PT30M
0.0094,2023-10-04T06:30:00Z,PT30M
0.016,2023-10-04T06:00:00Z,PT30M
0.161,2023-10-04T05:30:00Z,PT30M
0.3715,2023-10-04T05:00:00Z,PT30M
0.5789,2023-10-04T04:30:00Z,PT30M
0.7839,2023-10-04T04:00:00Z,PT30M
0.965,2023-10-04T03:30:00Z,PT30M
1.1294,2023-10-04T03:00:00Z,PT30M
1.2698,2023-10-04T02:30:00Z,PT30M
1.3834,2023-10-04T02:00:00Z,PT30M
1.4709,2023-10-04T01:30:00Z,PT30M
1.5319,2023-10-04T01:00:00Z,PT30M
1.5747,2023-10-04T00:30:00Z,PT30M
1.5929,2023-10-04,PT30M
1.5922,2023-10-03T23:30:00Z,PT30M
1.5572,2023-10-03T23:00:00Z,PT30M
1.4957,2023-10-03T22:30:00Z,PT30M
1.4056,2023-10-03T22:00:00Z,PT30M
1.2905,2023-10-03T21:30:00Z,PT30M
1.16,2023-10-03T21:00:00Z,PT30M
0.9844,2023-10-03T20:30:00Z,PT30M
0.7977,2023-10-03T20:00:00Z,PT30M
0.5859,2023-10-03T19:30:00Z,PT30M
0.3552,2023-10-03T19:00:00Z,PT30M
0.0957,2023-10-03T18:30:00Z,PT30M
0,2023-10-03T18:00:00Z,PT30M
0,2023-10-03T17:30:00Z,PT30M
0,2023-10-03T17:00:00Z,PT30M
0,2023-10-03T16:30:00Z,PT30M
0,2023-10-03T16:00:00Z,PT30M
0,2023-10-03T15:30:00Z,PT30M
0,2023-10-03T15:00:00Z,PT30M
0,2023-10-03T14:30:00Z,PT30M
0,2023-10-03T14:00:00Z,PT30M
0,2023-10-03T13:30:00Z,PT30M
0,2023-10-03T13:00:00Z,PT30M
0,2023-10-03T12:30:00Z,PT30M
0,2023-10-03T12:00:00Z,PT30M
0,2023-10-03T11:30:00Z,PT30M
0,2023-10-03T11:00:00Z,PT30M
0,2023-10-03T10:30:00Z,PT30M
0,2023-10-03T10:00:00Z,PT30M
0,2023-10-03T09:30:00Z,PT30M
0,2023-10-03T09:00:00Z,PT30M
0,2023-10-03T08:30:00Z,PT30M
0,2023-10-03T08:00:00Z,PT30M
0,2023-10-03T07:30:00Z,PT30M
0,2023-10-03T07:00:00Z,PT30M
0.0085,2023-10-03T06:30:00Z,PT30M
0.015,2023-10-03T06:00:00Z,PT30M
0.1651,2023-10-03T05:30:00Z,PT30M
0.366,2023-10-03T05:00:00Z,PT30M
0.5832,2023-10-03T04:30:00Z,PT30M
0.7739,2023-10-03T04:00:00Z,PT30M
0.9527,2023-10-03T03:30:00Z,PT30M
1.1141,2023-10-03T03:00:00Z,PT30M
1.2503,2023-10-03T02:30:00Z,PT30M
1.3648,2023-10-03T02:00:00Z,PT30M
1.4473,2023-10-03T01:30:00Z,PT30M
1.339,2023-10-03T01:00:00Z,PT30M
1.298,2023-10-03T00:30:00Z,PT30M
1.5367,2023-10-03,PT30M
1.4695,2023-10-02T23:30:00Z,PT30M
1.3077,2023-10-02T23:00:00Z,PT30M
