Year,Month,Day,Hour,air_temp,dni,ghi,PeriodEnd.UTC,PeriodEnd.NZ
2022,9,3,14,16,148,446,2022-09-03T02:00:00Z,2022-09-03T02:00:00Z
2022,9,3,15,16,8,299,2022-09-03T03:00:00Z,2022-09-03T03:00:00Z
2022,9,3,16,16,0,195,2022-09-03T04:00:00Z,2022-09-03T04:00:00Z
2022,9,3,17,16,0,89,2022-09-03T05:00:00Z,2022-09-03T05:00:00Z
2022,9,3,18,15,0,14,2022-09-03T06:00:00Z,2022-09-03T06:00:00Z
2022,9,3,19,14,0,0,2022-09-03T07:00:00Z,2022-09-03T07:00:00Z
2022,9,3,20,14,0,0,2022-09-03T08:00:00Z,2022-09-03T08:00:00Z
2022,9,3,21,14,0,0,2022-09-03T09:00:00Z,2022-09-03T09:00:00Z
2022,9,3,22,14,0,0,2022-09-03T10:00:00Z,2022-09-03T10:00:00Z
2022,9,3,23,14,0,0,2022-09-03T11:00:00Z,2022-09-03T11:00:00Z
2022,9,4,0,14,0,0,2022-09-03T12:00:00Z,2022-09-03T12:00:00Z
2022,9,4,1,14,0,0,2022-09-03T13:00:00Z,2022-09-03T13:00:00Z
2022,9,4,2,14,0,0,2022-09-03T14:00:00Z,2022-09-03T14:00:00Z
2022,9,4,3,13,0,0,2022-09-03T15:00:00Z,2022-09-03T15:00:00Z
2022,9,4,4,13,0,0,2022-09-03T16:00:00Z,2022-09-03T16:00:00Z
2022,9,4,5,13,0,0,2022-09-03T17:00:00Z,2022-09-03T17:00:00Z
2022,9,4,6,13,0,0,2022-09-03T18:00:00Z,2022-09-03T18:00:00Z
2022,9,4,7,13,3,3,2022-09-03T19:00:00Z,2022-09-03T19:00:00Z
2022,9,4,8,13,0,38,2022-09-03T20:00:00Z,2022-09-03T20:00:00Z
2022,9,4,9,14,35,162,2022-09-03T21:00:00Z,2022-09-03T21:00:00Z
2022,9,4,10,14,101,298,2022-09-03T22:00:00Z,2022-09-03T22:00:00Z
2022,9,4,11,15,302,445,2022-09-03T23:00:00Z,2022-09-03T23:00:00Z
2022,9,4,12,15,146,453,2022-09-04T00:00:00Z,2022-09-04T00:00:00Z
2022,9,4,13,15,52,341,2022-09-04T01:00:00Z,2022-09-04T01:00:00Z
2022,9,4,14,15,104,389,2022-09-04T02:00:00Z,2022-09-04T02:00:00Z
2022,9,4,15,16,186,406,2022-09-04T03:00:00Z,2022-09-04T03:00:00Z
2022,9,4,16,15,503,380,2022-09-04T04:00:00Z,2022-09-04T04:00:00Z
2022,9,4,17,15,244,187,2022-09-04T05:00:00Z,2022-09-04T05:00:00Z
2022,9,4,18,14,262,63,2022-09-04T06:00:00Z,2022-09-04T06:00:00Z
2022,9,4,19,13,0,0,2022-09-04T07:00:00Z,2022-09-04T07:00:00Z
2022,9,4,20,13,0,0,2022-09-04T08:00:00Z,2022-09-04T08:00:00Z
2022,9,4,21,13,0,0,2022-09-04T09:00:00Z,2022-09-04T09:00:00Z
2022,9,4,22,12,0,0,2022-09-04T10:00:00Z,2022-09-04T10:00:00Z
2022,9,4,23,12,0,0,2022-09-04T11:00:00Z,2022-09-04T11:00:00Z
2022,9,5,0,12,0,0,2022-09-04T12:00:00Z,2022-09-04T12:00:00Z
2022,9,5,1,11,0,0,2022-09-04T13:00:00Z,2022-09-04T13:00:00Z
2022,9,5,2,11,0,0,2022-09-04T14:00:00Z,2022-09-04T14:00:00Z
2022,9,5,3,11,0,0,2022-09-04T15:00:00Z,2022-09-04T15:00:00Z
2022,9,5,4,11,0,0,2022-09-04T16:00:00Z,2022-09-04T16:00:00Z
2022,9,5,5,11,0,0,2022-09-04T17:00:00Z,2022-09-04T17:00:00Z
2022,9,5,6,11,0,0,2022-09-04T18:00:00Z,2022-09-04T18:00:00Z
2022,9,5,7,11,0,2,2022-09-04T19:00:00Z,2022-09-04T19:00:00Z
2022,9,5,8,11,0,19,2022-09-04T20:00:00Z,2022-09-04T20:00:00Z
2022,9,5,9,11,0,33,2022-09-04T21:00:00Z,2022-09-04T21:00:00Z
2022,9,5,10,11,0,42,2022-09-04T22:00:00Z,2022-09-04T22:00:00Z
2022,9,5,11,11,0,39,2022-09-04T23:00:00Z,2022-09-04T23:00:00Z
2022,9,5,12,11,0,39,2022-09-05T00:00:00Z,2022-09-05T00:00:00Z
2022,9,5,13,12,0,36,2022-09-05T01:00:00Z,2022-09-05T01:00:00Z
2022,9,5,14,13,0,26,2022-09-05T02:00:00Z,2022-09-05T02:00:00Z
2022,9,5,15,14,0,38,2022-09-05T03:00:00Z,2022-09-05T03:00:00Z
2022,9,5,16,15,0,37,2022-09-05T04:00:00Z,2022-09-05T04:00:00Z
2022,9,5,17,16,0,62,2022-09-05T05:00:00Z,2022-09-05T05:00:00Z
2022,9,5,18,16,0,10,2022-09-05T06:00:00Z,2022-09-05T06:00:00Z
2022,9,5,19,16,0,0,2022-09-05T07:00:00Z,2022-09-05T07:00:00Z
2022,9,5,20,15,0,0,2022-09-05T08:00:00Z,2022-09-05T08:00:00Z
2022,9,5,21,14,0,0,2022-09-05T09:00:00Z,2022-09-05T09:00:00Z
2022,9,5,22,14,0,0,2022-09-05T10:00:00Z,2022-09-05T10:00:00Z
2022,9,5,23,12,0,0,2022-09-05T11:00:00Z,2022-09-05T11:00:00Z
2022,9,6,0,11,0,0,2022-09-05T12:00:00Z,2022-09-05T12:00:00Z
2022,9,6,1,11,0,0,2022-09-05T13:00:00Z,2022-09-05T13:00:00Z
2022,9,6,2,10,0,0,2022-09-05T14:00:00Z,2022-09-05T14:00:00Z
2022,9,6,3,10,0,0,2022-09-05T15:00:00Z,2022-09-05T15:00:00Z
2022,9,6,4,10,0,0,2022-09-05T16:00:00Z,2022-09-05T16:00:00Z
2022,9,6,5,10,0,0,2022-09-05T17:00:00Z,2022-09-05T17:00:00Z
2022,9,6,6,10,0,0,2022-09-05T18:00:00Z,2022-09-05T18:00:00Z
2022,9,6,7,9,17,5,2022-09-05T19:00:00Z,2022-09-05T19:00:00Z
2022,9,6,8,9,566,130,2022-09-05T20:00:00Z,2022-09-05T20:00:00Z
2022,9,6,9,10,797,330,2022-09-05T21:00:00Z,2022-09-05T21:00:00Z
2022,9,6,10,10,889,513,2022-09-05T22:00:00Z,2022-09-05T22:00:00Z
2022,9,6,11,11,947,657,2022-09-05T23:00:00Z,2022-09-05T23:00:00Z
2022,9,6,12,11,973,744,2022-09-06T00:00:00Z,2022-09-06T00:00:00Z
2022,9,6,13,11,981,768,2022-09-06T01:00:00Z,2022-09-06T01:00:00Z
2022,9,6,14,12,970,725,2022-09-06T02:00:00Z,2022-09-06T02:00:00Z
2022,9,6,15,12,938,619,2022-09-06T03:00:00Z,2022-09-06T03:00:00Z
2022,9,6,16,12,869,461,2022-09-06T04:00:00Z,2022-09-06T04:00:00Z
2022,9,6,17,11,744,269,2022-09-06T05:00:00Z,2022-09-06T05:00:00Z
2022,9,6,18,11,368,74,2022-09-06T06:00:00Z,2022-09-06T06:00:00Z
2022,9,6,19,10,0,0,2022-09-06T07:00:00Z,2022-09-06T07:00:00Z
2022,9,6,20,10,0,0,2022-09-06T08:00:00Z,2022-09-06T08:00:00Z
2022,9,6,21,10,0,0,2022-09-06T09:00:00Z,2022-09-06T09:00:00Z
2022,9,6,22,9,0,0,2022-09-06T10:00:00Z,2022-09-06T10:00:00Z
2022,9,6,23,8,0,0,2022-09-06T11:00:00Z,2022-09-06T11:00:00Z
2022,9,7,0,8,0,0,2022-09-06T12:00:00Z,2022-09-06T12:00:00Z
2022,9,7,1,8,0,0,2022-09-06T13:00:00Z,2022-09-06T13:00:00Z
2022,9,7,2,8,0,0,2022-09-06T14:00:00Z,2022-09-06T14:00:00Z
2022,9,7,3,8,0,0,2022-09-06T15:00:00Z,2022-09-06T15:00:00Z
2022,9,7,4,8,0,0,2022-09-06T16:00:00Z,2022-09-06T16:00:00Z
2022,9,7,5,8,0,0,2022-09-06T17:00:00Z,2022-09-06T17:00:00Z
2022,9,7,6,8,0,0,2022-09-06T18:00:00Z,2022-09-06T18:00:00Z
2022,9,7,7,8,9,5,2022-09-06T19:00:00Z,2022-09-06T19:00:00Z
2022,9,7,8,8,20,72,2022-09-06T20:00:00Z,2022-09-06T20:00:00Z
2022,9,7,9,10,514,293,2022-09-06T21:00:00Z,2022-09-06T21:00:00Z
2022,9,7,10,11,693,472,2022-09-06T22:00:00Z,2022-09-06T22:00:00Z
2022,9,7,11,12,902,641,2022-09-06T23:00:00Z,2022-09-06T23:00:00Z
2022,9,7,12,13,889,713,2022-09-07T00:00:00Z,2022-09-07T00:00:00Z
2022,9,7,13,13,176,462,2022-09-07T01:00:00Z,2022-09-07T01:00:00Z
2022,9,7,14,14,0,198,2022-09-07T02:00:00Z,2022-09-07T02:00:00Z
2022,9,7,15,14,0,219,2022-09-07T03:00:00Z,2022-09-07T03:00:00Z
2022,9,7,16,14,29,265,2022-09-07T04:00:00Z,2022-09-07T04:00:00Z
